,DATE,NO2
0,2023-01-01,37
1,2023-01-02,39
2,2023-01-03,44
3,2023-01-04,52
4,2023-01-05,49
5,2023-01-06,43
6,2023-01-07,41
7,2023-01-08,14
8,2023-01-09,27
9,2023-01-10,58
10,2023-01-11,46
11,2023-01-12,53
12,2023-01-13,57
13,2023-01-14,54
14,2023-01-15,51
15,2023-01-16,41
16,2023-01-17,43
17,2023-01-18,21
18,2023-01-19,17
19,2023-01-20,36
20,2023-01-21,32
21,2023-01-22,26
22,2023-01-23,50
23,2023-01-24,30
24,2023-01-25,40
25,2023-01-26,47
26,2023-01-27,40
27,2023-01-28,35
28,2023-01-29,32
29,2023-01-30,47
30,2023-01-31,78
31,2023-02-01,61
32,2023-02-02,66
33,2023-02-03,82
34,2023-02-04,74
35,2023-02-05,57
36,2023-02-06,45
37,2023-02-07,36
38,2023-02-08,33
39,2023-02-09,41
40,2023-02-10,40
41,2023-02-11,28
42,2023-02-12,24
43,2023-02-13,37
44,2023-02-14,38
45,2023-02-15,50
46,2023-02-16,55
47,2023-02-17,47
48,2023-02-18,48
49,2023-02-19,44
50,2023-02-20,40
51,2023-02-21,42
52,2023-02-22,40
53,2023-02-23,23
54,2023-02-24,42
55,2023-02-25,40
56,2023-02-26,33
57,2023-02-27,24
58,2023-02-28,36
59,2023-03-01,39
60,2023-03-02,43
61,2023-03-03,49
62,2023-03-04,35
63,2023-03-05,48
64,2023-03-06,21
65,2023-03-07,17
66,2023-03-08,7
67,2023-03-09,17
68,2023-03-10,17
69,2023-03-11,15
70,2023-03-12,27
71,2023-03-13,29
72,2023-03-14,22
73,2023-03-15,51
74,2023-03-16,56
75,2023-03-17,21
76,2023-03-18,17
77,2023-03-19,30
78,2023-03-20,29
79,2023-03-21,46
80,2023-03-22,47
81,2023-03-23,37
82,2023-03-24,33
83,2023-03-25,28
84,2023-03-26,33
85,2023-03-27,44
86,2023-03-28,57
87,2023-03-29,60
88,2023-03-30,36
89,2023-03-31,34
90,2023-04-01,39
91,2023-04-02,37
92,2023-04-03,45
93,2023-04-04,44
94,2023-04-05,47
95,2023-04-06,43
96,2023-04-07,36
97,2023-04-08,41
98,2023-04-09,38
99,2023-04-10,42
100,2023-04-11,42
101,2023-04-12,44
102,2023-04-13,50
103,2023-04-14,42
104,2023-04-15,40
105,2023-04-16,19
106,2023-04-17,28
107,2023-04-18,28
108,2023-04-19,39
109,2023-04-20,44
110,2023-04-21,41
111,2023-04-22,31
112,2023-04-23,30
113,2023-04-24,31
114,2023-04-25,30
115,2023-04-26,36
116,2023-04-27,49
117,2023-04-28,44
118,2023-04-29,28
119,2023-04-30,21
120,2023-05-01,17
121,2023-05-02,22
122,2023-05-03,33
123,2023-05-04,16
124,2023-05-05,31
125,2023-05-06,31
126,2023-05-07,17
127,2023-05-08,30
128,2023-05-09,23
129,2023-05-10,25
130,2023-05-11,28
131,2023-05-12,28
132,2023-05-13,21
133,2023-05-14,23
134,2023-05-15,26
135,2023-05-16,22
136,2023-05-17,15
137,2023-05-18,16
138,2023-05-19,19
139,2023-05-20,15
140,2023-05-21,14
141,2023-05-22,24
142,2023-05-23,19
143,2023-05-24,23
144,2023-05-25,29
145,2023-05-26,23
146,2023-05-27,19
147,2023-05-28,17
148,2023-05-29,29
149,2023-05-30,32
150,2023-05-31,27
151,2023-06-01,26
152,2023-06-02,19
153,2023-06-03,18
154,2023-06-04,16
155,2023-06-05,23
156,2023-06-06,23
157,2023-06-07,24
158,2023-06-08,19
159,2023-06-09,14
160,2023-06-10,11
161,2023-06-11,12
162,2023-06-12,20
163,2023-06-13,24
164,2023-06-14,27
165,2023-06-15,27
166,2023-06-16,27
167,2023-06-17,34
168,2023-06-18,14
169,2023-06-19,25
170,2023-06-20,19
171,2023-06-21,26
172,2023-06-22,30
173,2023-06-23,27
174,2023-06-24,26
175,2023-06-25,27
176,2023-06-26,28
177,2023-06-27,23
178,2023-06-28,25
179,2023-06-29,28
180,2023-06-30,14
